year,customs_office_fa,destination_country_fa,export_value_usd,source_url,scraped_at
1400,منطقه ویژه اقتصادی انرژی پارس,چین,6407374975,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1400,2026-09-07T15:56:58
1400,منطقه ویژه اقتصادی شهید رجایی,چین,4549237090,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1400,2026-09-07T15:56:58
1400,بازرگان,ترکیه,2467672629,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1400,2026-09-07T15:56:58
1400,خسروی,عراق,1929522849,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1400,2026-09-07T15:56:58
1400,منطقه ویژه اقتصادی پتروشیمی بندر امام خمینی (ره),چین,1626750943,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1400,2026-09-07T15:56:58
1400,منطقه ویژه اقتصادی شهید رجایی,امارات متحده عربی,1604920606,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1400,2026-09-07T15:56:58
1400,شلمچه,عراق,1094771368,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1400,2026-09-07T15:56:58
1400,منطقه ویژه اقتصادی شهید رجایی,هند,890805896,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1400,2026-09-07T15:56:58
1400,مهران,عراق,662349507,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1400,2026-09-07T15:56:58
1400,منطقه ویژه صنایع معدنی و فلزی خلیج فارس,چین,642471868,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1400,2026-09-07T15:56:58
1400,منطقه ویژه اقتصادی انرژی پارس,امارات متحده عربی,599514656,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1400,2026-09-07T15:56:58
