hs_code,hs_code_2,hs_code_4,hs_code_6,hs_code_8,hs_description
01.01.21.00,01,0101,010121,01012100,حیوانات مولد نژاد خالص
01.01.21.00,01,0101,010121,01012100,حيوانات مولد نژاد خالص
01.01.29.90,01,0101,010129,01012990,ساير
01.02.21.10,01,0102,010221,01022110,گاو شيري مولد نژاد خالص
01.02.21.40,01,0102,010221,01022140,گاو نر مولد نژاد ( شیری، گوشتی، دومنظوره ) زنده
01.02.21.90,01,0102,010221,01022190,ساير حيوانات مولد نژاد خاص از نوع گاو بجز گاو شيري و گاو گوشتي
01.02.29.00,01,0102,010229,01022900,ساير حيوانات از نوع گاو بجز مولد نژاد خالص
01.04.10.90,01,0104,010410,01041090,سايرحيوانات زنده از نوع گوسفند بجز گوسفند مولد نژاد خالص
01.05.11.50,01,0105,010511,01051150,جوجه يكروزه گوشتي
01.05.11.50,01,0105,010511,01051150,جوجه یكروزه گوشتی
01.05.11.60,01,0105,010511,01051160,جوجه یكروزه تخمگذار
01.05.11.60,01,0105,010511,01051160,جوجه يكروزه تخمگذار
01.05.11.90,01,0105,010511,01051190,مرغ وخروس به وزن 185گرم وكمتر غير مذكور درجاي ديگر .
01.05.11.90,01,0105,010511,01051190,مرغ و خروس به وزن 185 گرم و كمتر غیر مذكور در جای دیگر
01.05.12.20,01,0105,010512,01051220,جوجه يكروزه گوشتي بوقلمون، به وزن 185گرم وكمتر
01.05.12.90,01,0105,010512,01051290,بوقلمون زنده به استثنای شماره ردیف های 01051210 و 0105121220 غیر مذکور در جای دیگر
01.05.13.10,01,0105,010513,01051310,جوجه یکروزه مرغابی و اردک مولد
01.05.14.90,01,0105,010514,01051490,غاز زنده
01.05.94.20,01,0105,010594,01059420,پولت مرغ تخم گذار
01.05.94.90,01,0105,010594,01059490,ساير
01.05.99.00,01,0105,010599,01059900,سایر مرغ، خروس، اردک، غاز، بوقلمون و مرغ شاخدار، زنده از نوع خانگی به وزن بیش از 185 گرم به غیر از ماكیان از گونه های Gِِallusdome
01.05.99.00,01,0105,010599,01059900,ساير مرغ، خروس، اردک، غاز، بوقلمون و مرغ شاخدار، زنده از نوع خانگي به وزن بيش از 185 گرم به غير از ماكيان از گونه هاي Gِِallusdome
01.06.12.90,01,0106,010612,01061290,سایر نهنگ ها، دولفین ها و خوک های دریایی، گاو آبی و گاو دریایی بجز برای تحقیقات پزشکی
01.06.13.00,01,0106,010613,01061300,شترها و ساير گونه هاي شتر (Camelidae)
01.06.13.10,01,0106,010613,01061310,شترها و سایر گونه های شتر دارای مولد نژاد خالص
01.06.13.90,01,0106,010613,01061390,سایر شترها و گونه های شتر به استثنای شتر دارای مولد نژاد خالص
01.06.14.00,01,0106,010614,01061400,خرگوش ها و خرگوش های صحرایی
01.06.19.90,01,0106,010619,01061990,سایر سگ و گربه معمولی
01.06.19.90,01,0106,010619,01061990,ساير
01.06.20.90,01,0106,010620,01062090,سایر خزندگان (از جمله مار و لاک پشت دریایی) بجز برای تحقیقات پزشکی، آزمایشگاهی
01.06.32.90,01,0106,010632,01063290,ساير طوطي ها ا زجمله طوطي معمولي بجز براي تحقيقات پزشکي و...
01.06.32.90,01,0106,010632,01063290,سایر طوطی ها از جمله طوطی معمولی بجز برای تحقیقات پزشکی و...
01.06.33.10,01,0106,010633,01063310,شترمرغ بالغ مولد
01.06.33.30,01,0106,010633,01063330,جوجه يكروزه شترمرغ
01.06.33.30,01,0106,010633,01063330,جوجه یكروزه شترمرغ
01.06.33.90,01,0106,010633,01063390,ساير شتر مرغ ها بجز شترمرغ بالغ مولد و شترمرغ استراليايي
01.06.33.90,01,0106,010633,01063390,سایر شتر مرغ ها بجز شترمرغ بالغ مولد و شترمرغ استرالیایی
01.06.39.10,01,0106,010639,01063910,
